id,region,rule,clientMCC,excludeClientMCC,direction,parentTypeId,excludeParentTypeId,priority,keyword,initiationMode,isCashback,channel,isOverdraftProtection,isBankSpecialSavings,isRej,isTermDepositRedemption,isReversal,deviceId,hasInstallments,transactionPurpose,keywordMccCharge,keywordMccNonCharge,activityClass
USA_0__C__0_USA_1_____HOME DEPOT|UNI_1____0_SALARY,USA,0,,,C,,,0,USA_1_____HOME DEPOT|UNI_1____0_SALARY,,,,,,,,,HOME DEPOT SALARY,,SALARY,29,29,
USA_0__C__0_USA_1_____GUARDIAN|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____GUARDIAN|UNI_1____0_PAYROLL,,,,,,,,,GUARDIAN PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__7-ELEVEN|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__7-ELEVEN|UNI_1____0_PAYROLL,,,,,,,,,7-ELEVEN PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1_____ALLSTATE|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1_____ALLSTATE|UNI_1____0_PAYROLL,,,,,,,,,ALLSTATE PAYROLL,,SALARY,29,29,
UNI_0__C__0_UNI_1____0_AMICA PENSION|UNI_1____0_PAYROLL,UNI,0,,,C,,,0,UNI_1____0_AMICA PENSION|UNI_1____0_PAYROLL,,,,,,,,,AMICA PENSION PAYROLL,,PENSION,28,28,
USA_0____0_UNI_1___CHARGE__AUTOMOTIVE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__AUTOMOTIVE|UNI_1____0_PAYROLL,,,,,,,,,AUTOMOTIVE PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____CLEANING|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____CLEANING|UNI_1____0_PAYROLL,,,,,,,,,CLEANING PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__COCA COLA|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__COCA COLA|UNI_1____0_PAYROLL,,,,,,,,,COCA COLA PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__COCA-COLA|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__COCA-COLA|UNI_1____0_PAYROLL,,,,,,,,,COCA-COLA PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____CONSTRUCTION|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____CONSTRUCTION|UNI_1____0_PAYROLL,,,,,,,,,CONSTRUCTION PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__DELTA AIR|UNI_1____0_SALARY,UNI,0,,,,,,0,UNI_1___CHARGE__DELTA AIR|UNI_1____0_SALARY,,,,,,,,,DELTA AIR SALARY,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__DOLLAR GENERAL|UNI_2____0_PR PAYMENT,USA,0,,,,,,0,UNI_1___CHARGE__DOLLAR GENERAL|UNI_2____0_PR PAYMENT,,,,,,,,,DOLLAR GENERAL PR PAYMENT,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__DONUTS|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__DONUTS|UNI_1____0_PAYROLL,,,,,,,,,DONUTS PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____EMERGENCY|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____EMERGENCY|UNI_1____0_PAYROLL,,,,,,,,,EMERGENCY PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____EYE CENTER|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____EYE CENTER|UNI_1____0_PAYROLL,,,,,,,,,EYE CENTER PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__FRESH MARKET|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__FRESH MARKET|UNI_1____0_PAYROLL,,,,,,,,,FRESH MARKET PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____GOOGLE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____GOOGLE|UNI_1____0_PAYROLL,,,,,,,,,GOOGLE PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____HEALTHCARE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____HEALTHCARE|UNI_1____0_PAYROLL,,,,,,,,,HEALTHCARE PAYROLL,,SALARY,29,29,
